Bit,Description,SMARTS
SubFP225,Phosphine,"[PX3;$([H3]),$([H2][#6]),$([H1]([#6])[#6]),$([H0]([#6])([#6])[#6])]"
SubFP226,Phosphine oxide,"[PX4;$([H3]=[OX1]),$([H2](=[OX1])[#6]),$([H1](=[OX1])([#6])[#6]),$([H0](=[OX1])([#6])([#6])[#6])]"
SubFP227,Phosphonium,"[P+;!$([P]~[!#6]);!$([P]*~[#7,#8,#15,#16])]"
SubFP228,Phosphorylen,"[PX4;$([H3]=[CX3]),$([H2](=[CX3])[#6]),$([H1](=[CX3])([#6])[#6]),$([H0](=[CX3])([#6])([#6])[#6])]"
SubFP229,Phosphonic acid,"[PX4;$([H1]),$([H0][#6])](=[OX1])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]"
SubFP230,Phosphonic monoester,"[PX4;$([H1]),$([H0][#6])](=[OX1])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]"
SubFP231,Phosphonic diester,"[PX4;$([H1]),$([H0][#6])](=[OX1])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]"
SubFP232,Phosphonic monoamide,"[PX4;$([H1]),$([H0][#6])](=[OX1])([$([OX2H]),$([OX1-])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP233,Phosphonic diamide,"[PX4;$([H1]),$([H0][#6])](=[OX1])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP234,Phosphonic esteramide,"[PX4;$([H1]),$([H0][#6])](=[OX1])([OX2][#6;!$(C=[O,N,S])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP235,Phosphonic acid derivative,"[PX4;$([H1]),$([H0][#6])](=[!#6])([!#6])[!#6]"
SubFP236,Phosphoric acid,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]"
SubFP237,Phosphoric monoester,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]"
SubFP238,Phosphoric diester,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]"
SubFP239,Phosphoric triester,"[PX4D4](=[OX1])([OX2][#6;!$(C=[O,N,S])])([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]"
SubFP240,Phosphoric monoamide,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([$([OX2H]),$([OX1-])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP241,Phosphoric diamide,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP242,Phosphoric triamide,"[PX4D4](=[OX1])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP243,Phosphoric monoestermonoamide,"[PX4D4](=[OX1])([$([OX2H]),$([OX1-])])([OX2][#6;!$(C=[O,N,S])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP244,Phosphoric diestermonoamide,"[PX4D4](=[OX1])([OX2][#6;!$(C=[O,N,S])])([OX2][#6;!$(C=[O,N,S])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP245,Phosphoric monoesterdiamide,"[PX4D4](=[OX1])([OX2][#6;!$(C=[O,N,S])])([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP246,Phosphoric acid derivative,[PX4D4](=[!#6])([!#6])([!#6])[!#6]
SubFP247,Phosphinic acid,"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[$([OX2H]),$([OX1-])]"
SubFP248,Phosphinic ester,"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[OX2][#6;!$(C=[O,N,S])]"
SubFP249,Phosphinic amide,"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[OX1])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP250,Phosphinic acid derivative,"[PX4;$([H2]),$([H1][#6]),$([H0]([#6])[#6])](=[!#6])[!#6]"
SubFP251,Phosphonous acid,"[PX3;$([H1]),$([H0][#6])]([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])]"
SubFP252,Phosphonous monoester,"[PX3;$([H1]),$([H0][#6])]([$([OX2H]),$([OX1-])])[OX2][#6;!$(C=[O,N,S])]"
SubFP253,Phosphonous diester,"[PX3;$([H1]),$([H0][#6])]([OX2][#6;!$(C=[O,N,S])])[OX2][#6;!$(C=[O,N,S])]"
SubFP254,Phosphonous monoamide,"[PX3;$([H1]),$([H0][#6])]([$([OX2H]),$([OX1-])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP255,Phosphonous diamide,"[PX3;$([H1]),$([H0][#6])]([#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP256,Phosphonous esteramide,"[PX3;$([H1]),$([H0][#6])]([OX2][#6;!$(C=[O,N,S])])[#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP257,Phosphonous derivatives,"[PX3;$([D2]),$([D3][#6])]([!#6])[!#6]"
SubFP258,Phosphinous acid,"[PX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][$([OX2H]),$([OX1-])]"
SubFP259,Phosphinous ester,"[PX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][OX2][#6;!$(C=[O,N,S])]"
SubFP260,Phosphinous amide,"[PX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][#7X3;$([H2]),$([H1][#6;!$(C=[O,N,S])]),$([#7]([#6;!$(C=[O,N,S])])[#6;!$(C=[O,N,S])])]"
SubFP261,Phosphinous derivatives,"[PX3;$([H2]),$([H1][#6]),$([H0]([#6])[#6])][!#6]"
SubFP262,Quart silane,[SiX4]([#6])([#6])([#6])[#6]
SubFP263,Non-quart silane,"[SiX4;$([H1]([#6])([#6])[#6]),$([H2]([#6])[#6]),$([H3][#6]),$([H4])]"
SubFP264,Silylmonohalide,"[SiX4]([FX1,ClX1,BrX1,IX1])([#6])([#6])[#6]"
SubFP265,Het trialkylsilane,[SiX4]([!#6])([#6])([#6])[#6]
SubFP266,Dihet dialkylsilane,[SiX4]([!#6])([!#6])([#6])[#6]
SubFP267,Trihet alkylsilane,[SiX4]([!#6])([!#6])([!#6])[#6]
SubFP268,Silicic acid derivative,[SiX4]([!#6])([!#6])([!#6])[!#6]
SubFP269,Trialkylborane,[BX3]([#6])([#6])[#6]
SubFP270,Boric acid derivatives,[BX3]([!#6])([!#6])[!#6]
SubFP271,Boronic acid derivative,[BX3]([!#6])([!#6])[!#6]
SubFP272,Borohydride,"[BH1,BH2,BH3,BH4]"
SubFP273,Quaternary boron,[BX4]
SubFP274,Aromatic,a
SubFP275,Heterocyclic,[!#6;!R0]
SubFP276,Epoxide,[OX2r3]1[#6r3][#6r3]1
SubFP277,NH aziridine,[NX3H1r3]1[#6r3][#6r3]1
SubFP278,Spiro,[D4R;$(*(@*)(@*)(@*)@*)]
SubFP279,Annelated rings,[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]@[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]
SubFP280,Bridged rings,[R;$(*(@*)(@*)@*);!$([D4R;$(*(@*)(@*)(@*)@*)]);!$([R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]@[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])])]
SubFP281,Sugar pattern 1,"[OX2;$([r5]1@C@C@C(O)@C1),$([r6]1@C@C@C(O)@C(O)@C1)]"
SubFP282,Sugar pattern 2,"[OX2;$([r5]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C1),$([r6]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C@C1)]"
SubFP283,Sugar pattern combi,"[OX2;$([r5]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C(O)@C1),$([r6]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C(O)@C(O)@C1)]"
SubFP284,Sugar pattern 2 reducing,"[OX2;$([r5]1@C(!@[OX2H1])@C@C@C1),$([r6]1@C(!@[OX2H1])@C@C@C@C1)]"
SubFP285,Sugar pattern 2 alpha,"[OX2;$([r5]1@[C@@](!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C1),$([r6]1@[C@@](!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C@C1)]"
SubFP286,Sugar pattern 2 beta,"[OX2;$([r5]1@[C@](!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C1),$([r6]1@[C@](!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C@C1)]"
SubFP287,Conjugated double bond,"*=*[*]=,#,:[*]"
SubFP288,Conjugated tripple bond,"*#*[*]=,#,:[*]"
SubFP289,Cis double bond,*/[D2]=[D2]/*
SubFP290,Trans double bond,*/[D2]=[D2]/*
SubFP291,Mixed anhydrides,"[$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))][#8X2][$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))]"
SubFP292,Halogen on hetero,"[FX1,ClX1,BrX1,IX1][!#6]"
SubFP293,Halogen multi subst,"[F,Cl,Br,I;!$([X1]);!$([X0-])]"
SubFP294,Trifluoromethyl,"[FX1][CX4;!$([H0][Cl,Br,I]);!$([F][C]([F])([F])[F])]([FX1])([FX1])"
SubFP295,C ONS bond,"[#6]~[#7,#8,#16]"
SubFP296,Charged,[!+0]
SubFP297,Anion,"[-1,-2,-3,-4,-5,-6,-7]"
SubFP298,Kation,"[+1,+2,+3,+4,+5,+6,+7]"
SubFP299,Salt,"[!#6;-].[$([#3,#11,#19,#37,#55,#4,#12,#20,#38,#56;+])]"
SubFP300,"1,3-Tautomerizable","[$([#7X2,OX1,SX1]=*[!H0;!$([a;!n])]),$([#7X3,OX2,SX2;!H0]*=*),$([#7X3,OX2,SX2;!H0]*:n)]"
SubFP301,"1,5-Tautomerizable","[$([#7X2,OX1,SX1]=,:**=,:*[!H0;!$([a;!n])]),$([#7X3,OX2,SX2;!H0]*=**=*),$([#7X3,OX2,SX2;!H0]*=,:**:n)]"
SubFP302,Rotatable bond,[!$(*#*)&!D1]-!@[!$(*#*)&!D1]
SubFP303,Michael acceptor,"[CX3]=[CX3][$([CX3]=[O,N,S]),$(C#[N]),$([S,P]=[OX1]),$([NX3]=O),$([NX3+](=O)[O-])]"
SubFP304,Dicarbodiazene,[CX3](=[OX1])[NX2]=[NX2][CX3](=[OX1])
SubFP305,CH-acidic,"[$([CX4;!$([H0]);!$(C[!#6;!$([P,S]=O);!$(N(~O)~O)])][$([CX3]=[O,N,S]),$(C#[N]),$([S,P]=[OX1]),$([NX3]=O),$([NX3+](=O)[O-]);!$(*[S,O,N;H1,H2]);!$([*+0][S,O;X1-])]),$([CX4;!$([H0])]1[CX3]=[CX3][CX3]=[CX3]1)]"
SubFP306,CH-acidic strong,"[CX4;!$([H0]);!$(C[!#6;!$([P,S]=O);!$(N(~O)~O)])]([$([CX3]=[O,N,S]),$(C#[N]),$([S,P]=[OX1]),$([NX3]=O),$([NX3+](=O)[O-]);!$(*[S,O,N;H1,H2]);!$([*+0][S,O;X1-])])[$([CX3]=[O,N,S]),$(C#[N]),$([S,P]=[OX1]),$([NX3]=O),$([NX3+](=O)[O-]);!$(*[S,O,N;H1,H2]);!$([*+0][S,O;X1-])]"
SubFP307,Chiral center specified,"[$([*@](~*)(~*)(*)*),$([*@H](*)(*)*),$([*@](~*)(*)*),$([*@H](~*)~*)]"
